Country,City,Year,Month,Number_of_Tourists,Purpose_of_Visit,Average_Length_of_Stay,Tourist_Spending_USD,Hotel_Occupancy_Rate,Number_of_Hotels,Hotel_Rating,Average_Room_Price_USD,Tourism_Revenue_USD,Employment_in_Tourism,Contribution_to_GDP_Percent,Number_of_Flights,Airport_Passenger_Traffic,Transport_Infrastructure_Quality,Eco_Tourism_Revenue_USD,Carbon_Footprint_kg,Waste_Management_Rating,Tourist_Satisfaction_Score,Number_of_Online_Reviews
Turkey,Istanbul,2021,8,69239,Religious,8.9,3183.77,58.3,252,2-star,284.06,220441.05,26217,3.2,2910,851123,9.4,28015.42,31006364.4,7.9,6.2,8425
India,Delhi,2021,1,173313,Leisure,11.5,1398.51,58.6,395,4-star,140.39,242379.96,37471,3.2,752,104213,5.4,44890.41,74064315.14,2.5,9.0,3341
United Kingdom,London,2022,9,85825,Medical,11.1,2354.08,46.9,338,5-star,468.41,202038.92,16688,13.1,1212,601039,6.5,23026.0,22557445.84,7.1,6.1,1179
Canada,Vancouver,2023,4,175758,Medical,8.5,1683.86,76.2,471,3-star,358.57,295951.87,14777,9.2,4485,193953,3.9,27991.98,34404265.48,4.8,6.3,2753
China,Guangzhou,2024,6,177785,Cultural,11.5,3018.73,58.0,435,5-star,224.63,536684.91,29124,18.0,4683,442515,4.0,126716.96,28586418.7,2.2,6.7,5489
Brazil,Rio de Janeiro,2021,2,135283,Religious,5.2,784.64,46.6,257,5-star,335.2,106148.45,44349,11.6,921,748093,8.9,25272.51,14483136.08,5.7,7.6,1408
Italy,Venice,2020,9,167674,Leisure,4.7,4095.27,80.2,253,1-star,354.67,686670.3,25317,6.4,1939,465769,7.0,95366.45,71017218.67,3.7,7.9,9034
China,Beijing,2023,10,83734,Family Visit,6.9,1862.45,63.0,98,3-star,409.32,155950.39,43452,5.6,2415,898039,4.1,27221.09,23065962.89,3.0,5.7,3338
Germany,Frankfurt,2024,6,80408,Religious,4.0,3674.1,52.2,321,3-star,397.52,295427.03,5486,16.7,3696,551072,6.2,72865.86,8596838.84,5.9,9.3,338
Egypt,Luxor,2023,9,122379,Business,4.9,4700.55,57.2,181,2-star,349.0,575248.61,16864,4.4,3312,426826,5.0,49305.41,49649238.53,8.1,8.2,7904
India,Mumbai,2022,6,81113,Family Visit,14.9,3556.27,43.7,320,1-star,499.89,288459.73,10956,6.5,3465,85135,3.7,20657.86,8157642.88,5.0,9.2,9477
United States,San Francisco,2022,5,53262,Cultural,8.0,784.35,69.9,237,2-star,123.83,41776.05,20329,16.1,3920,461811,3.1,11293.09,12319609.03,2.0,9.4,4641
South Africa,Cape Town,2020,4,95771,Medical,7.6,1792.66,76.8,78,5-star,190.72,171684.84,43409,2.0,2501,466512,5.3,30179.34,21680095.86,7.6,9.4,6623
Australia,Brisbane,2023,10,62397,Cultural,13.1,2977.45,81.3,231,3-star,106.23,185783.95,18824,14.1,1282,819776,3.3,55651.35,10930106.4,2.3,5.5,8177
Canada,Vancouver,2020,8,86490,Leisure,10.2,2143.53,66.8,369,5-star,409.86,185393.91,18806,19.2,1416,669212,3.8,45143.19,10450496.97,1.1,9.0,1068
India,Delhi,2024,8,122833,Religious,3.7,1560.05,86.6,330,1-star,318.93,191625.62,46941,10.2,4029,50801,9.8,55847.87,22860157.08,8.3,6.0,9421
Brazil,Rio de Janeiro,2023,12,78363,Business,14.5,1804.66,82.6,64,2-star,280.19,141418.57,19855,18.8,3685,699362,4.3,28959.74,12832564.54,9.7,9.6,2989
Greece,Santorini,2021,8,59569,Leisure,3.1,4592.5,49.7,91,Unrated,189.44,273570.63,12612,12.4,3255,892329,4.9,40084.88,22393743.02,6.4,5.5,6720
Canada,Toronto,2020,11,174746,Medical,11.6,4964.34,71.5,248,3-star,82.36,867498.56,43677,17.6,1180,877363,3.7,128571.76,30031932.69,6.2,9.8,7686
Japan,Tokyo,2024,4,124408,Leisure,3.1,3290.01,57.0,364,5-star,245.61,409303.56,18541,4.6,3727,72948,7.9,41532.78,28448943.1,5.2,9.7,2417
Brazil,Rio de Janeiro,2024,10,151925,Business,3.4,4288.93,64.1,380,2-star,257.26,651595.69,19274,10.1,1793,216305,5.4,50765.16,22205537.84,8.2,7.6,8544
Brazil,Rio de Janeiro,2022,1,118295,Leisure,2.5,3395.16,53.1,391,5-star,153.94,401630.45,20248,16.2,3068,720397,9.1,27079.0,14584236.24,9.3,8.2,4910
South Africa,Johannesburg,2020,1,187863,Family Visit,10.7,2890.4,44.9,143,2-star,470.48,542999.22,14967,4.3,935,972451,8.9,101734.79,68095004.91,4.4,6.4,9107
Greece,Santorini,2021,7,124495,Religious,13.2,3443.35,65.6,363,4-star,107.94,428679.86,35418,9.5,3648,567561,6.1,62451.07,50156003.78,3.8,8.0,8433
United Arab Emirates,Dubai,2021,2,198348,Religious,2.1,825.75,54.5,201,1-star,111.43,163785.86,15892,14.5,3874,488895,8.1,18137.05,91903773.07,1.8,7.3,7731
India,Delhi,2023,5,89994,Medical,10.8,3661.83,87.8,356,Unrated,193.57,329542.73,23205,19.1,3151,649830,8.6,46315.72,32774724.84,5.2,6.0,8849
Mexico,Cancun,2022,8,110645,Leisure,10.4,4324.29,54.6,206,3-star,386.9,478461.07,17213,3.5,3637,681445,5.8,135742.04,48018016.95,8.6,6.5,3226
United Kingdom,London,2020,3,62120,Family Visit,12.5,2160.44,82.7,366,3-star,158.32,134206.53,24093,14.2,4905,225885,9.1,20281.66,17533385.29,7.4,9.1,830
Singapore,Sentosa Island,2022,3,197000,Business,4.4,4240.61,78.3,106,5-star,224.23,835400.17,42134,11.1,3416,917190,3.2,85259.23,39438056.2,8.3,6.4,2789
Greece,Santorini,2023,9,139110,Educational,8.6,4395.4,52.1,461,1-star,82.99,611444.09,12999,15.2,4121,168371,8.4,177256.44,58017910.86,6.4,7.5,1745
South Africa,Cape Town,2023,5,60435,Cultural,7.0,1185.03,73.3,59,4-star,166.73,71617.29,48005,12.1,901,678203,2.4,19031.65,12474300.76,6.3,7.5,7980
South Africa,Cape Town,2023,6,187521,Medical,14.1,2223.76,76.5,226,5-star,407.88,417001.7,33952,9.5,4984,861624,9.4,71286.12,55539902.03,2.1,9.0,8305
Australia,Sydney,2020,2,66365,Business,13.7,4598.71,87.2,395,5-star,177.69,305193.39,39012,3.5,3970,557730,4.5,33746.25,31178125.23,5.7,5.1,1009
China,Shanghai,2024,7,164110,Business,4.9,4125.24,42.9,112,5-star,336.83,676993.14,37624,11.9,1715,969199,4.7,111714.72,35951824.43,1.3,8.0,110
Turkey,Istanbul,2020,5,190302,Family Visit,2.5,4975.67,64.1,177,1-star,360.18,946879.95,18662,7.8,2289,986924,1.4,103359.79,86758604.94,1.1,6.0,7183
United States,Miami,2023,9,88262,Family Visit,10.0,1677.52,43.3,107,3-star,348.85,148061.27,12689,17.7,4890,531947,7.5,41393.68,23231986.89,2.7,7.6,6575
Spain,Barcelona,2024,5,195800,Business,2.1,3654.55,45.7,158,Unrated,105.12,715560.89,43699,15.9,1745,167408,1.6,85535.22,44995360.76,9.5,6.4,7081
South Africa,Cape Town,2024,12,105654,Leisure,11.9,522.85,85.9,414,1-star,331.82,55241.19,10958,15.0,2678,896626,2.2,13460.52,21756961.46,9.4,8.6,873
Australia,Sydney,2023,3,115888,Business,6.0,3450.33,52.0,167,Unrated,419.21,399851.84,32213,10.7,4977,636510,7.6,48753.78,45755526.77,1.6,9.3,5856
United Kingdom,Manchester,2022,8,192326,Business,7.7,3249.61,71.2,236,5-star,256.21,624984.49,20545,5.6,4608,534427,4.1,157455.36,46649863.67,1.9,9.8,9216
China,Shanghai,2024,1,59795,Medical,7.3,4010.38,78.6,379,4-star,265.1,239800.67,36042,12.3,3660,603669,6.4,45555.56,17613335.64,5.5,5.9,970
Spain,Barcelona,2022,8,130770,Leisure,9.0,1089.86,78.3,57,1-star,169.29,142520.99,20321,17.6,2212,692216,3.6,24609.61,36019886.99,7.8,7.1,7827
